linha,cluster_order,latitude,longitude,cluster_count
100,2,-22.874949986885245,-43.24128354098361,7625
315,1,-22.874921169055202,-43.24127755661713,22608
415,4,-22.932441722689077,-43.24091773109244,238
634,4,-22.839491296296295,-43.23955740740741,54
639,3,-22.92334146359584,-43.23476341010401,1346
634,3,-22.926807370892018,-43.23400469483568,213
634,5,-22.924523461538463,-43.233784615384614,26
606,4,-22.924346571428572,-43.23303761904762,105
638,2,-22.92528391509434,-43.232765849056605,212
415,5,-22.924134680851065,-43.232701382978725,188
665,5,-22.922188553990612,-43.23265281690141,1065
629,3,-22.922878657024793,-43.23252776859504,484
108,5,-22.88606619047619,-43.224967142857146,21
550,2,-22.979065301444944,-43.22273316392626,2007
565,3,-22.978964189944133,-43.222242737430165,895
624,3,-22.911637044025156,-43.21195849056604,159
108,2,-22.899212553699282,-43.21181105011933,419
606,3,-22.89950177130045,-43.21093679372197,446
483,3,-22.98579119072708,-43.196992307692305,1898
397,4,-22.905570296296297,-43.19325311111111,135
388,4,-22.905566666666665,-43.193217872340426,141
415,3,-22.905735560165976,-43.192714522821575,241
315,2,-22.904877039274925,-43.192525334484245,2317
309,2,-22.904797445141067,-43.192486959247645,2552
100,4,-22.904698373056995,-43.192202279792745,965
399,5,-22.905197924528302,-43.1920879245283,53
328,5,-22.9050592,-43.191653333333335,150
554,5,-22.98536737254902,-43.19023290196078,255
557,3,-22.985498385744236,-43.19018174004193,477
324,1,-22.815526611613052,-43.188287314265985,17377
328,1,-22.81507887453534,-43.18740191452901,37931
634,1,-22.815045419731977,-43.18737116156997,25147
557,4,-22.96672493796526,-43.18672446650124,403
108,4,-22.93003681818182,-43.186451363636365,22
324,4,-22.81908107142857,-43.18338178571429,56
355,5,-22.90731074003795,-43.18280356736243,527
328,3,-22.902532113970587,-43.18211985294118,544
483,4,-22.946983241491086,-43.181834878444086,1234
343,4,-22.902213775510205,-43.18174030612245,98
100,3,-22.946192821479038,-43.181662623645785,2123
108,3,-22.91330357142857,-43.18050142857143,28
388,2,-22.90147483724451,-43.18048240726722,1321
397,2,-22.901383623623623,-43.180162802802805,999
324,5,-22.90135972222222,-43.17975222222222,36
554,3,-22.954302736248238,-43.17875234132581,1418
553,3,-22.954277056530213,-43.178712436647174,513
324,3,-22.900595280898877,-43.17811235955056,89
328,4,-22.90115581218274,-43.177815482233505,394
497,4,-22.931512617021276,-43.177580978723405,470
399,4,-22.915786666666666,-43.17648064285714,420
497,3,-22.629406645702307,-43.17644649895178,477
298,3,-22.909134281524928,-43.17093428152493,341
232,3,-22.908860909090908,-43.17023533596838,253
324,2,-22.825560118110236,-43.16932763779528,1016
328,2,-22.789024239583334,-43.161897215277776,2880
634,2,-22.78906111883252,-43.16186676164003,1439
